areaName,longitude,latitude,unitPrice,rooms,halls,floors,houseStruct,floorArea,directions,decoration,elevaPropora,isElevator,yearProperty,totalPrice
建邺,118.7133418,32.01251821,30315,2,1,2,1,52.78,0,3,2,0,70,160
秦淮,118.8172207,32.00796914,44823,4,2,3,暂无数据,149.48,0,其他,2,1,70,670
秦淮,118.8172207,32.00796914,29742,2,1,2,1,50.77,0,2,2,0,70,151
建邺,118.7133418,32.01251821,51287,3,2,3,1,126.74,0,3,1,1,70,650
江宁,118.8354182,31.86397143,27265,3,2,3,1,132.04,0,其他,4,1,70,360
秦淮,118.8172207,32.00796914,27477,2,1,2,1,62.6,0,其他,2,0,70,172
建邺,118.7133418,32.01251821,28453,1,1,2,1,38.31,1,2,3,0,70,109
江宁,118.8354182,31.86397143,26395,2,2,2,1,84.11,0,3,2,1,70,222
江宁,118.8354182,31.86397143,26833,3,2,3,1,88.7,0,其他,2,1,70,238
鼓楼,114.3419056,34.79798255,36949,2,1,2,1,50.07,0,其他,3,0,70,185
浦口,118.5691248,32.0590623,24470,2,2,3,1,92.36,0,3,2,1,70,226
秦淮,118.8172207,32.00796914,22385,2,1,3,1,75.5,0,2,5,1,70,169
建邺,118.7133418,32.01251821,42783,2,2,3,1,81.81,0,其他,2,1,70,350
秦淮,118.8172207,32.00796914,41917,2,1,2,1,50.1,0,3,2,0,70,210
秦淮,118.8172207,32.00796914,34734,2,1,2,1,63.34,1,其他,25,1,70,220
栖霞,118.9637248,32.16942426,37499,2,2,2,1,94.67,0,3,2,1,70,355
玄武,118.8489373,32.07176566,36074,2,1,1,1,71.52,0,3,2.666666667,1,70,258
鼓楼,114.3419056,34.79798255,32792,3,1,3,1,70.14,0,其他,2,0,70,230
江宁,118.8354182,31.86397143,25664,3,2,1,1,100.53,0,3,3,1,70,258
建邺,118.7133418,32.01251821,40149,2,2,2,1,94.4,1,3,3,1,70,379
浦口,118.5691248,32.0590623,19655,2,1,3,1,67.16,1,3,2,0,70,132
秦淮,118.8172207,32.00796914,29233,2,1,1,1,57.47,1,其他,100,1,70,168
秦淮,118.8172207,32.00796914,34518,2,1,3,1,59.39,1,2,2,0,70,205
栖霞,118.9637248,32.16942426,25085,5,2,1,暂无数据,259.12,1,其他,2,1,70,650
玄武,118.8489373,32.07176566,38240,2,1,3,1,64.07,0,其他,50,1,70,245
雨花台,118.7219786,31.95455211,39176,3,2,1,1,117.42,0,1,2,1,70,460
鼓楼,114.3419056,34.79798255,36437,2,2,3,1,115.27,0,其他,1.333333333,1,70,420
栖霞,118.9637248,32.16942426,23728,2,1,3,1,61.11,1,其他,3,0,70,145
江宁,118.8354182,31.86397143,24034,4,2,1,1,147.71,0,其他,2,1,70,355
秦淮,118.8172207,32.00796914,32662,2,1,2,1,57.56,0,2,2,0,70,188
浦口,118.5691248,32.0590623,26428,2,1,3,1,93.84,1,2,1.5,1,70,248
鼓楼,114.3419056,34.79798255,27921,2,1,3,1,44.77,1,3,3,0,70,125
江宁,118.8354182,31.86397143,36824,2,1,3,1,81.47,1,3,2.333333333,1,70,300
秦淮,118.8172207,32.00796914,27482,2,1,2,1,63.68,0,其他,2,0,70,175
秦淮,118.8172207,32.00796914,46151,2,2,1,1,88.84,0,其他,2,1,70,410
鼓楼,114.3419056,34.79798255,65022,2,1,3,1,52.29,0,2,3,0,70,340
建邺,118.7133418,32.01251821,33504,2,1,2,1,62.68,0,3,2,0,70,210
鼓楼,114.3419056,34.79798255,67861,2,1,2,1,55.85,0,其他,2,0,70,379
建邺,118.7133418,32.01251821,30330,2,1,3,1,45.83,0,2,4,0,70,139
浦口,118.5691248,32.0590623,21317,3,2,1,1,106.96,0,其他,4,1,70,228
建邺,118.7133418,32.01251821,44829,2,1,1,2,91.46,0,2,50,1,70,410
玄武,118.8489373,32.07176566,27344,3,2,1,1,117.03,1,2,2,0,70,320
秦淮,118.8172207,32.00796914,49578,2,1,2,1,65.15,0,其他,25,1,70,323
建邺,118.7133418,32.01251821,44601,2,1,1,3,73.99,0,其他,25,1,70,330
鼓楼,114.3419056,34.79798255,67703,2,1,2,1,64.99,0,其他,4,0,70,440
江宁,118.8354182,31.86397143,25798,3,2,2,1,126.37,0,3,2,0,70,326
江宁,118.8354182,31.86397143,24958,3,1,2,1,100.97,0,其他,1.5,1,70,252
江宁,118.8354182,31.86397143,26584,2,2,2,1,76.74,0,2,4,1,70,204
江宁,118.8354182,31.86397143,29961,1,1,1,1,43.39,0,3,20,1,70,130
江宁,118.8354182,31.86397143,38429,3,2,3,1,127.51,1,3,1,1,70,490
浦口,118.5691248,32.0590623,24853,3,1,1,1,89.73,0,3,2,1,70,223
玄武,118.8489373,32.07176566,35739,2,1,2,1,60.16,0,其他,50,1,70,215
鼓楼,114.3419056,34.79798255,29357,2,1,3,1,64.38,0,2,2,0,70,189
玄武,118.8489373,32.07176566,29403,2,1,2,1,61.22,0,1,2,0,70,180
鼓楼,114.3419056,34.79798255,54888,2,2,2,1,78.16,0,3,2,0,70,429
栖霞,118.9637248,32.16942426,23421,2,1,2,1,53.8,1,3,3,1,70,126
浦口,118.5691248,32.0590623,22743,2,2,2,1,73.43,0,其他,3,1,70,167
秦淮,118.8172207,32.00796914,37227,1,1,3,1,42.98,1,3,3,0,70,160
鼓楼,114.3419056,34.79798255,25905,4,2,3,3,138.2,0,3,2,0,70,358
江宁,118.8354182,31.86397143,28313,3,1,2,1,137.75,0,其他,2,1,70,390
江宁,118.8354182,31.86397143,30687,2,2,3,1,76.58,1,3,50,1,70,235
玄武,118.8489373,32.07176566,67231,2,1,1,1,50.87,0,2,2,0,70,342
江宁,118.8354182,31.86397143,27740,3,2,1,1,124.73,0,其他,2,1,70,346
栖霞,118.9637248,32.16942426,24105,3,1,1,1,87.12,0,2,2,0,70,210
秦淮,118.8172207,32.00796914,38493,2,1,2,1,50.14,0,其他,2,1,70,193
秦淮,118.8172207,32.00796914,29993,2,1,3,1,51.68,1,3,2,1,70,155
浦口,118.5691248,32.0590623,22971,2,2,1,1,93.6,1,其他,1.5,1,70,215
雨花台,118.7219786,31.95455211,30611,2,1,2,1,62.07,0,2,2,0,70,190
浦口,118.5691248,32.0590623,19974,4,2,3,2,160.21,1,3,4,1,70,320
建邺,118.7133418,32.01251821,25890,2,1,3,1,58.71,1,3,2,0,70,152
江宁,118.8354182,31.86397143,27273,3,2,2,1,115.5,0,其他,2,0,70,315
江宁,118.8354182,31.86397143,26605,3,2,1,1,95.85,0,2,2,1,70,255
玄武,118.8489373,32.07176566,27116,2,1,3,1,70.07,0,3,2,0,70,190
江宁,118.8354182,31.86397143,23618,4,1,2,1,141,0,其他,2,0,70,333
江宁,118.8354182,31.86397143,25481,2,2,3,1,97.33,0,3,2,1,70,248
浦口,118.5691248,32.0590623,24687,2,1,3,1,69.27,1,3,2,1,70,171
建邺,118.7133418,32.01251821,24120,2,1,3,1,76.7,0,其他,2,0,70,185
浦口,118.5691248,32.0590623,21814,2,2,2,1,93.06,0,1,2,1,70,203
鼓楼,114.3419056,34.79798255,30551,2,2,1,1,85.76,1,1,2,0,70,262
浦口,118.5691248,32.0590623,27422,2,2,2,1,80.23,1,3,2,1,70,220
栖霞,118.9637248,32.16942426,23433,4,2,3,1,128.03,0,3,2,0,70,300
江宁,118.8354182,31.86397143,30011,2,2,2,1,84.97,1,其他,2,1,70,255
鼓楼,114.3419056,34.79798255,33899,3,1,1,1,70.8,0,其他,2,0,70,240
秦淮,118.8172207,32.00796914,30685,2,2,2,1,94.51,0,其他,2,1,70,290
江宁,118.8354182,31.86397143,21880,3,2,2,1,116.55,0,3,3,1,70,255
栖霞,118.9637248,32.16942426,21108,6,2,1,2,284.26,0,1,2,1,70,600
建邺,118.7133418,32.01251821,31612,2,1,1,1,78.77,0,其他,2,0,70,249
建邺,118.7133418,32.01251821,30478,2,1,2,1,45.28,0,3,2,0,70,138
秦淮,118.8172207,32.00796914,39118,3,2,2,1,107.37,0,其他,2,0,70,420
建邺,118.7133418,32.01251821,39281,3,2,2,1,111.71,0,3,2,0,70,438.8
江宁,118.8354182,31.86397143,19868,2,1,1,1,69.46,0,2,50,1,70,138
秦淮,118.8172207,32.00796914,43586,2,1,3,1,68.83,1,其他,4,0,70,300
鼓楼,114.3419056,34.79798255,25055,3,1,3,1,77.83,1,2,2,0,70,195
玄武,118.8489373,32.07176566,28072,2,1,1,1,62.34,1,3,2,0,70,175
建邺,118.7133418,32.01251821,44922,2,1,3,1,69.01,0,其他,5,1,65,310
江宁,118.8354182,31.86397143,22260,3,2,2,1,94.34,1,其他,2,暂无数据,70,210
建邺,118.7133418,32.01251821,38265,2,1,2,1,70.3,0,其他,6,1,70,269
江宁,118.8354182,31.86397143,20932,3,2,1,1,88.86,0,2,2,1,70,186
鼓楼,114.3419056,34.79798255,57863,5,2,2,3,165.91,0,3,2,1,70,960
浦口,118.5691248,32.0590623,18126,3,2,3,1,135.17,0,1,3,1,70,245
鼓楼,114.3419056,34.79798255,31151,2,1,2,1,69.34,0,2,2,0,70,216
秦淮,118.8172207,32.00796914,35788,2,1,2,1,78.24,0,其他,2,0,70,280
江宁,118.8354182,31.86397143,31700,2,1,2,1,81.39,1,其他,2.5,1,70,258
江宁,118.8354182,31.86397143,28368,3,2,1,1,147,0,3,2,1,70,417
江宁,118.8354182,31.86397143,30000,2,1,2,1,68,1,2,2,1,70,204
秦淮,118.8172207,32.00796914,37015,2,1,1,1,83.75,0,其他,2,1,70,310
鼓楼,114.3419056,34.79798255,66638,3,2,3,1,92.29,0,3,2,0,70,615
玄武,118.8489373,32.07176566,25820,3,1,3,1,81.72,0,2,2,0,70,211
秦淮,118.8172207,32.00796914,35290,3,2,2,1,118.45,1,2,2,1,70,418
江宁,118.8354182,31.86397143,33748,1,1,2,1,45.93,0,3,3,1,70,155
秦淮,118.8172207,32.00796914,28139,3,1,3,1,83.87,0,2,2,0,70,236
江宁,118.8354182,31.86397143,28445,3,2,3,1,137.11,0,其他,2,1,70,390
栖霞,118.9637248,32.16942426,30191,3,2,1,1,124.21,0,3,1,1,70,375
鼓楼,114.3419056,34.79798255,33138,3,1,2,1,86.91,0,2,2,0,70,288
雨花台,118.7219786,31.95455211,34280,2,2,2,1,83.14,1,3,2,1,70,285
秦淮,118.8172207,32.00796914,36406,3,1,2,1,87.35,0,3,2,0,70,318
秦淮,118.8172207,32.00796914,32448,2,1,2,1,57.94,0,其他,2,0,70,188
鼓楼,114.3419056,34.79798255,38413,3,2,2,1,132.77,0,1,50,1,70,510
鼓楼,114.3419056,34.79798255,79501,2,1,1,1,70.44,0,3,4,0,70,560
江宁,118.8354182,31.86397143,25839,3,2,1,1,99.85,0,3,2,1,70,258
江宁,118.8354182,31.86397143,32810,2,1,3,1,57.91,1,其他,7,1,70,190
江宁,118.8354182,31.86397143,18867,3,2,1,1,103.89,0,2,2,0,70,196
雨花台,118.7219786,31.95455211,29474,1,1,1,1,47.5,1,3,100,1,70,140
浦口,118.5691248,32.0590623,28346,3,2,2,1,116.42,0,1,2,1,70,330
江宁,118.8354182,31.86397143,26216,2,2,3,2,83.92,0,其他,2,0,70,220
江宁,118.8354182,31.86397143,25010,2,2,1,1,108.76,0,其他,2,1,70,272
鼓楼,114.3419056,34.79798255,27845,2,1,3,1,66.44,1,2,2,0,70,185
江宁,118.8354182,31.86397143,30243,4,2,2,1,134.91,0,2,2,1,70,408
鼓楼,114.3419056,34.79798255,30673,7,2,3,1,264.08,0,其他,1,1,70,810
秦淮,118.8172207,32.00796914,28917,2,1,1,1,50.49,0,其他,2,0,70,146
浦口,118.5691248,32.0590623,28503,2,1,3,1,82.8,0,其他,1.5,1,70,236
浦口,118.5691248,32.0590623,23011,3,2,1,1,112.99,0,3,3,1,70,260
建邺,118.7133418,32.01251821,31608,2,1,3,1,59.48,0,3,2,0,70,188
江宁,118.8354182,31.86397143,28949,3,2,3,1,133.34,0,其他,4,1,70,386
雨花台,118.7219786,31.95455211,42155,3,2,2,1,137.59,0,2,2,1,70,580
玄武,118.8489373,32.07176566,46549,2,2,2,1,68.96,1,3,3,0,70,321
江宁,118.8354182,31.86397143,27053,3,2,1,1,128.64,0,其他,1.5,1,70,348
鼓楼,114.3419056,34.79798255,69005,2,1,1,1,53.33,0,3,2,0,70,368
栖霞,118.9637248,32.16942426,37317,3,2,2,1,125.95,0,其他,2,0,70,470
秦淮,118.8172207,32.00796914,29249,4,3,2,1,164.11,0,3,1,0,70,480
雨花台,118.7219786,31.95455211,21729,4,2,2,1,158.78,0,其他,2,0,70,345
鼓楼,114.3419056,34.79798255,50863,2,1,2,1,45.22,1,其他,2,0,70,230
秦淮,118.8172207,32.00796914,29883,2,1,2,1,61.24,1,其他,2,0,70,183
江宁,118.8354182,31.86397143,23465,4,2,2,错层,125.72,0,2,2,0,70,295
鼓楼,114.3419056,34.79798255,27186,2,1,3,1,56.28,0,3,3,0,70,153
江宁,118.8354182,31.86397143,28924,3,1,1,暂无数据,44.6,0,其他,16.5,1,70,129
江宁,118.8354182,31.86397143,31114,4,1,3,3,167.13,0,其他,1,1,70,520
建邺,118.7133418,32.01251821,35239,3,2,2,1,114.93,0,其他,2,0,70,405
江宁,118.8354182,31.86397143,24368,4,2,2,1,163.33,0,其他,2,1,70,398
鼓楼,114.3419056,34.79798255,53519,1,1,3,1,37.37,1,1,3,0,70,200
鼓楼,114.3419056,34.79798255,77683,2,1,1,1,61.79,0,2,2,0,70,480
浦口,118.5691248,32.0590623,22560,2,1,3,1,71.81,0,2,3,1,70,162
秦淮,118.8172207,32.00796914,29688,2,1,3,1,64,1,其他,5,1,70,190
秦淮,118.8172207,32.00796914,68244,1,1,2,1,33.41,0,3,4,0,70,228
江宁,118.8354182,31.86397143,30871,4,2,3,3,167.8,0,1,2,1,70,518
雨花台,118.7219786,31.95455211,25741,3,1,2,1,87.41,1,3,3,1,70,225
鼓楼,114.3419056,34.79798255,32296,2,1,2,1,68.12,0,其他,2,0,70,220
秦淮,118.8172207,32.00796914,46803,3,1,3,1,75.21,0,2,4,1,70,352
鼓楼,114.3419056,34.79798255,34007,2,2,2,1,89.69,0,3,3,1,70,305
江宁,118.8354182,31.86397143,33179,2,1,1,2,45.21,0,2,20,1,70,150
栖霞,118.9637248,32.16942426,34832,3,2,1,1,89,0,3,1,1,70,310
雨花台,118.7219786,31.95455211,33859,3,2,2,1,107.8,0,2,2,1,70,365
鼓楼,114.3419056,34.79798255,75015,3,2,2,1,84.65,0,3,2,0,70,635
秦淮,118.8172207,32.00796914,62952,2,1,2,1,48.45,0,3,2,0,70,305
浦口,118.5691248,32.0590623,20717,6,2,3,2,115.85,1,其他,2,0,70,240
栖霞,118.9637248,32.16942426,28449,2,1,2,1,44.29,0,3,2,0,70,126
江宁,118.8354182,31.86397143,25006,3,2,3,1,129.97,0,其他,4,1,70,325
秦淮,118.8172207,32.00796914,36776,3,2,2,1,99.25,0,3,2,0,70,365
建邺,118.7133418,32.01251821,50725,3,2,2,暂无数据,110.4,0,2,2,1,70,560
栖霞,118.9637248,32.16942426,22001,4,1,3,3,127.27,0,3,2,0,70,280
鼓楼,114.3419056,34.79798255,60844,2,1,3,1,50.95,0,2,2,1,70,310
建邺,118.7133418,32.01251821,29702,3,1,2,1,69.02,0,2,3,0,70,205
浦口,118.5691248,32.0590623,18625,2,2,2,1,101.48,0,2,2,1,70,189
