areaName,unitPrice,rooms,halls,floors,houseStruct,floorArea,directions,decoration,elevaPropora,isElevator,yearProperty,totalPrice
江宁,22888,2,1,3,1,58.11,0,2,18.5,1,70,133
鼓楼,66213,2,1,3,1,51.35,0,2,3,0,70,340
栖霞,34168,2,1,2,1,88.68,0,2,1,1,70,303
江宁,37156,3,2,1,1,109.27,0,3,2,1,70,406
江宁,21518,2,1,3,1,76.68,0,3,2,1,70,165
浦口,28119,3,2,3,1,94.6,1,3,1.333333333,1,70,266
江宁,18410,3,2,3,1,118.96,0,2,2,1,70,219
江宁,39598,3,2,3,1,112.38,0,3,2,1,70,445
江宁,22232,4,2,3,1,125.05,1,3,2,1,70,278
江宁,19158,3,2,1,1,87.17,0,3,2,1,70,167
浦口,21643,3,2,1,1,99.34,0,2,2,0,70,215
浦口,21825,3,2,2,1,109.97,0,2,1.5,1,70,240
江宁,28944,2,2,2,1,76.01,1,3,4,1,70,220
建邺,37793,2,1,1,1,92.61,0,3,2,1,70,350
建邺,36302,2,1,3,1,76.03,0,2,2,0,70,276
江宁,30883,2,1,2,1,68,1,3,2,1,70,210
鼓楼,37182,2,2,3,1,84.72,0,3,2,1,70,315
鼓楼,40371,2,1,3,1,73.32,1,2,2,0,70,296
雨花台,39719,3,2,1,1,140.49,1,3,2,1,70,558
江宁,28150,2,2,2,1,85.26,0,3,20,1,70,240
雨花台,22144,3,2,3,1,92.58,0,2,3,1,70,205
江宁,27368,1,1,1,1,50.06,0,2,4,1,70,137
溧水,13484,3,2,3,1,117.18,0,3,4,暂无数据,70,158
栖霞,31730,2,1,2,1,86.67,0,1,2,1,70,275
浦口,23571,2,2,2,1,79.76,0,3,2,0,70,188
江宁,23807,2,2,1,1,78.97,1,1,1,1,70,188
秦淮,46026,2,1,2,1,68.44,1,2,2,0,70,315
雨花台,24854,2,1,2,1,73.63,1,3,2,0,70,183
鼓楼,31068,2,2,2,1,77.25,0,2,2,0,70,240
浦口,21890,3,2,1,1,98.22,1,1,2.5,1,70,215
秦淮,51275,3,1,2,暂无数据,63.97,0,2,2,1,70,328
江宁,29724,2,1,3,1,67.96,0,3,2,0,70,202
江宁,27956,2,1,1,1,85.85,1,1,1.5,1,70,240
江宁,41031,3,2,2,1,97,0,3,2.5,1,70,398
鼓楼,56769,1,1,2,1,45.8,0,2,4,0,70,260
江宁,30415,2,1,2,2,62.47,0,3,15,1,70,190
江宁,35531,2,2,3,1,74.02,1,3,2.5,1,70,263
江宁,32120,2,1,1,1,53.55,1,2,4,1,70,172
江宁,29890,3,2,1,1,139.85,0,3,2,1,70,418
江宁,41409,3,2,1,1,84.04,1,3,2,1,70,348
江宁,22114,2,2,2,1,77.78,1,1,2,1,70,172
雨花台,41935,3,2,2,1,132.35,0,3,2,1,70,555
玄武,30233,3,1,1,1,68.8,0,2,2,0,70,208
浦口,24289,2,1,2,暂无数据,69.58,1,3,2,1,70,169
玄武,33777,3,2,3,1,88.82,0,2,2,1,70,300
江宁,27190,3,2,1,1,113.28,0,1,2,1,70,308
浦口,23120,3,2,2,1,88.67,0,1,2,1,70,205
浦口,26156,3,2,2,1,93.67,1,其他,2,1,70,245
江宁,28972,3,2,1,1,126.33,1,3,1.5,1,70,366
浦口,25099,3,2,1,1,121.52,0,2,1.5,1,70,305
六合,12616,3,1,3,1,91.95,0,3,1.5,1,70,116
鼓楼,24106,3,1,2,1,64.3,0,2,2,0,70,155
鼓楼,68614,2,1,2,1,56.84,0,2,2,0,70,390
雨花台,32263,2,1,1,2,68.5,1,3,100,1,70,221
雨花台,41940,3,2,2,1,119.22,1,3,1,1,70,500
江宁,20391,2,1,2,1,69.64,0,3,50,1,70,142
雨花台,41410,3,2,1,1,123.16,0,2,2,1,70,510
玄武,29504,2,1,2,1,54.23,1,3,2,0,70,160
江宁,12308,2,1,3,1,65,0,3,2,0,70,80
玄武,24505,2,1,2,1,55.5,0,2,2,0,70,136
秦淮,28872,1,1,2,1,41.91,0,2,3,0,70,121
浦口,24231,2,2,1,1,78.33,0,3,2,1,70,189.8
雨花台,30062,3,1,2,1,71.52,1,2,2,0,70,215
雨花台,36121,2,1,2,2,49.28,1,3,10.16666667,1,70,178
秦淮,39248,3,1,2,1,93,1,3,4,暂无数据,70,365
玄武,29603,3,2,1,1,104.72,0,3,2,1,70,310
鼓楼,37698,2,1,1,1,54.38,0,2,3,0,70,205
栖霞,32289,2,2,2,1,83.62,0,3,2,0,70,270
江宁,22329,2,2,1,错层,95.84,0,3,2,0,70,214
玄武,23760,3,1,3,1,75.76,0,3,2,0,70,180
江宁,31664,2,2,1,1,111.17,0,3,2,1,70,352
江宁,28903,2,1,2,1,78.54,0,3,8,0,70,227
建邺,71672,1,1,3,暂无数据,55.81,1,3,3,1,70,400
栖霞,22324,3,1,2,1,83.77,0,其他,2,0,70,187
秦淮,29119,2,2,2,1,85.17,0,2,2,1,70,248
浦口,21213,2,1,3,1,120.21,0,3,1,1,70,255
江宁,27907,1,2,2,1,58.41,0,2,2,0,70,163
鼓楼,27172,2,1,2,1,93.85,0,3,2,1,70,255
江宁,34239,3,1,3,2,83.24,1,2,2,1,70,285
玄武,35115,2,1,1,1,79.17,0,3,3,1,70,278
鼓楼,35558,2,1,1,1,47.81,0,2,2,0,70,170
江宁,31340,2,1,3,1,76.58,1,3,50,1,70,240
雨花台,30264,2,2,2,1,91.2,1,3,1.5,1,70,276
江宁,21943,3,2,3,1,107.1,0,3,2,0,70,235
江宁,17262,3,2,3,1,84,0,3,6,1,70,145
栖霞,35727,3,2,3,1,87.33,0,3,1,1,70,312
玄武,26066,2,1,1,1,52.56,0,2,3,0,70,137
浦口,22033,3,2,2,1,126.63,0,2,1.5,1,70,279
江宁,18355,2,2,2,1,79,1,1,4,1,70,145
栖霞,25597,3,1,2,1,86.34,1,1,4,暂无数据,70,221
鼓楼,32014,2,1,2,1,59.35,0,3,3,0,70,190
浦口,26659,2,2,1,暂无数据,86.65,0,3,2,1,70,231
鼓楼,29087,1,1,2,1,38.85,1,1,3,0,70,113
建邺,41852,3,2,1,1,121.86,0,3,1.5,1,70,510
江宁,35401,3,2,3,1,88.7,1,3,2,1,70,314
江宁,19690,2,1,3,1,65.01,1,3,3,1,70,128
鼓楼,79522,2,1,1,1,66.02,0,2,4,1,70,525
建邺,35144,2,2,1,暂无数据,88.21,0,3,2,0,70,310
江宁,26977,3,2,3,1,90.82,1,3,2,1,70,245
秦淮,48139,2,1,2,1,57.75,0,2,5,1,70,278
浦口,21414,3,2,2,1,92,0,3,2,1,70,197
江宁,21936,4,2,2,1,125.37,0,2,2,0,70,275
秦淮,38014,3,1,3,1,67.87,1,3,2,0,70,258
浦口,23938,3,1,2,1,87.73,1,2,2,1,70,210
江宁,16236,2,1,1,1,85,0,1,4,1,70,138
建邺,40864,3,2,3,1,119.91,0,2,2,1,70,490
秦淮,27151,2,1,3,暂无数据,65.56,0,3,2,0,70,178
秦淮,39146,3,1,3,暂无数据,64.63,0,3,2,0,70,253
江宁,27841,3,2,1,1,88,1,3,6,0,70,245
秦淮,41874,3,1,3,1,64.48,0,2,3,0,70,270
秦淮,25448,1,1,1,1,53.05,0,2,17,1,70,135
江宁,24753,2,2,3,1,84.84,0,3,2,1,70,210
鼓楼,42459,3,2,1,1,155.21,0,3,1.5,1,70,659
浦口,21094,2,2,1,1,89.6,0,3,2,0,70,189
建邺,47941,3,2,3,1,121.4,1,1,2,1,70,582
栖霞,34525,3,2,2,1,90.37,1,3,2,1,70,312
江宁,26438,2,2,3,1,80.19,0,3,4,暂无数据,70,212
秦淮,29368,2,1,2,1,59.59,1,2,2,0,70,175
溧水,11539,2,2,3,1,91,1,3,2,0,70,105
江宁,27846,1,1,1,1,49.56,0,2,4,0,70,138
江宁,17185,3,2,2,1,96.6,0,3,4,1,70,166
江宁,20300,3,2,3,2,100.99,1,3,2,0,70,205
建邺,33292,3,2,2,1,79.6,0,3,2,0,70,265
